,Date 13/02/2026
Rice,43.24
Wheat,31.83
Atta (Wheat),37.38
Gram Dal,86.09
Tur/Arhar Dal,120.4
Urad Dal,115.76
Moong Dal,110.81
Masoor Dal,89.5
Sugar,46.44
Milk @,59.19
Groundnut Oil (Packed),192.97
Mustard Oil (Packed),186.96
Vanaspati (Packed),157.52
Soya Oil (Packed),150.07
Sunflower Oil (Packed),173.15
Palm Oil (Packed),135.96
Gur,57.11
Tea Loose,272.57
Salt Pack (Iodised),21.63
Potato,22.35
Onion,27.7
Tomato,32.35
Bajra (whole),37.92
Jowar (whole),43.96
Maida (wheat),41.95
Ragi (whole),54.48
Suji (whole),47.01
Besan,96.01
Desi Ghee,679.71
Butter (Pasteurised),59.06
Eggs,82.26
Brinjal,40.08
Black Pepper (whole),87.03
Coriander (whole),37.91
Cummin Seed (whole),40.87
Red Chillies (whole),27.93
Turmeric (powder),16.33
Banana,47.35
Ginger,24.75
Garlic,39.13
