Date 08/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.19,65,,
Unit:(Rs./Kg.),Wheat,32.39,57,,
,Atta (Wheat),37.45,72,,
,Gram Dal,93.22,140,,
,Tur/Arhar Dal,155.06,193,,
,Urad Dal,123.81,170,,
,Moong Dal,113.85,150,,
,Masoor Dal,89.43,130,,
,Sugar,44.63,60,,
,Milk @,58.95,85,,
,Groundnut Oil (Packed),193.85,290,,
,Mustard Oil (Packed),168.85,221,,
,Vanaspati (Packed),147.18,211,,
,Soya Oil (Packed),142.98,194,,
,Sunflower Oil (Packed),154.13,209,,
,Palm Oil (Packed),134.69,176,,
,Gur,54.46,130,,
,Tea Loose,270.82,520,,
,Salt Pack (Iodised),21.97,32,,
,Potato,32.66,70,,
,Onion,41.12,87,,
,Tomato,33.86,103,,
