,Date 19/07/2026
Rice,43.75
Broken Rice,31.72
Wheat,31.2
Atta (Wheat),37.09
Gram Dal,84.36
Tur/Arhar Dal,121.05
Urad Dal,119.71
Moong Dal,110.04
Masoor Dal,88.32
Sugar,47.82
Milk @,59.48
Groundnut Oil (Packed),204.72
Mustard Oil (Packed),194.62
Vanaspati (Packed),163.15
Soya Oil (Packed),163.58
Sunflower Oil (Packed),188.65
Palm Oil (Packed),149.18
Gur,58.29
Tea Loose,265.27
Salt Pack (Iodised),22.22
Potato,21.83
Onion,33.97
Tomato,39.8
Bajra (whole),37.93
Jowar (whole),44.13
Maida (wheat),41.05
Ragi (whole),55.31
Suji (whole),44.56
Besan,94.47
Desi Ghee,690.76
Butter (Pasteurised),59.45
Eggs,84.96
Brinjal,40.59
Black Pepper (whole),87.39
Coriander (whole),40.23
Cummin Seed (whole),39.96
Red Chillies (whole),29.09
Turmeric (powder),16.26
Banana,48.59
Ginger,37.56
Garlic,40.84
