,Date 15/08/2026
Rice,45.16
Broken Rice,32.71
Wheat,31.68
Atta (Wheat),37.54
Gram Dal,85.72
Tur/Arhar Dal,122.59
Urad Dal,122.23
Moong Dal,111.4
Masoor Dal,89.1
Sugar,51.57
Milk @,60.25
Groundnut Oil (Packed),205.39
Mustard Oil (Packed),197.25
Vanaspati (Packed),165.41
Soya Oil (Packed),163.56
Sunflower Oil (Packed),191.16
Palm Oil (Packed),149.57
Gur,60.96
Tea Loose,269.37
Salt Pack (Iodised),22.22
Potato,22.28
Onion,36.33
Tomato,37.62
Bajra (whole),38.52
Jowar (whole),44.63
Maida (wheat),41.72
Ragi (whole),55.79
Suji (whole),45.89
Besan,95.23
Desi Ghee,699.26
Butter (Pasteurised),60.31
Eggs,85.01
Brinjal,41.88
Black Pepper (whole),88.24
Coriander (whole),42.22
Cummin Seed (whole),40.68
Red Chillies (whole),30.05
Turmeric (powder),16.55
Banana,49.49
Ginger,37.83
Garlic,43.3
