,Date 04/06/2026
Rice,43.22
Wheat,30.89
Atta (Wheat),36.8
Gram Dal,85.31
Tur/Arhar Dal,122.66
Urad Dal,118.4
Moong Dal,111.48
Masoor Dal,89.81
Sugar,46.82
Milk @,60.26
Groundnut Oil (Packed),202.15
Mustard Oil (Packed),190.71
Vanaspati (Packed),162.36
Soya Oil (Packed),161.16
Sunflower Oil (Packed),186.14
Palm Oil (Packed),146.3
Gur,58.08
Tea Loose,272.64
Salt Pack (Iodised),21.7
Potato,21.36
Onion,26.27
Tomato,37.21
Bajra (whole),37.77
Jowar (whole),44.13
Maida (wheat),41.84
Ragi (whole),54.47
Suji (whole),46.68
Besan,95.6
Desi Ghee,688.12
Butter (Pasteurised),59.19
Eggs,79.53
Brinjal,40.76
Black Pepper (whole),87.71
Coriander (whole),39.36
Cummin Seed (whole),40.71
Red Chillies (whole),28.97
Turmeric (powder),16.51
Banana,48.6
Ginger,28.46
Garlic,37.77
