,Date 10/02/2026
Rice,43.19
Wheat,31.75
Atta (Wheat),37.24
Gram Dal,85.92
Tur/Arhar Dal,120.41
Urad Dal,115.91
Moong Dal,110.71
Masoor Dal,89.43
Sugar,46.39
Milk @,59.17
Groundnut Oil (Packed),192.57
Mustard Oil (Packed),186.95
Vanaspati (Packed),156.98
Soya Oil (Packed),149.38
Sunflower Oil (Packed),172.66
Palm Oil (Packed),135.45
Gur,57.13
Tea Loose,271.97
Salt Pack (Iodised),21.58
Potato,22.57
Onion,27.88
Tomato,33.92
Bajra (whole),38.01
Jowar (whole),43.84
Maida (wheat),41.98
Ragi (whole),54.46
Suji (whole),47.08
Besan,96.22
Desi Ghee,678.46
Butter (Pasteurised),59.04
Eggs,82.49
Brinjal,40.42
Black Pepper (whole),86.99
Coriander (whole),37.81
Cummin Seed (whole),41.09
Red Chillies (whole),28.04
Turmeric (powder),16.3
Banana,47.46
Ginger,24.97
Garlic,39.27
