Date 07/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,63,,
Unit:(Rs./Kg.),Wheat,31.85,54,,
,Atta (Wheat),37.24,71,,
,Gram Dal,86.98,140,,
,Tur/Arhar Dal,115.29,182,,
,Urad Dal,113.73,157,,
,Moong Dal,110.47,148,,
,Masoor Dal,89.6,130,,
,Sugar,46.64,60,,
,Milk @,59.42,83,,
,Groundnut Oil (Packed),186.98,286,,
,Mustard Oil (Packed),187.74,246,,
,Vanaspati (Packed),156.3,231,,
,Soya Oil (Packed),146.1,198,,
,Sunflower Oil (Packed),164.65,242,,
,Palm Oil (Packed),132.45,187,,
,Gur,57.65,128,,
,Tea Loose,272.71,600,,
,Salt Pack (Iodised),21.49,35,,
,Potato,26.57,60,,
,Onion,27,60,,
,Tomato,38.69,120,,
