Date 12/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.98,64,,
Unit:(Rs./Kg.),Wheat,31.34,53,,
,Atta (Wheat),36.88,70,,
,Gram Dal,85.45,140,,
,Tur/Arhar Dal,119.52,183,,
,Urad Dal,114.84,157,,
,Moong Dal,110.47,140,,
,Masoor Dal,87.77,130,,
,Sugar,46.18,62,,
,Milk @,59.66,82,,
,Groundnut Oil (Packed),186.5,254,,
,Mustard Oil (Packed),177.67,253,,
,Vanaspati (Packed),156.27,231,,
,Soya Oil (Packed),146.7,242,,
,Sunflower Oil (Packed),159.89,258,,
,Palm Oil (Packed),129.83,177,,
,Gur,55.85,123,,
,Tea Loose,270.22,600,,
,Salt Pack (Iodised),21.48,32,,
,Potato,25.35,60,,
,Onion,28.45,75,,
,Tomato,41.84,107,,
