Date 21/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.96,61,,
Unit:(Rs./Kg.),Wheat,31.66,54,,
,Atta (Wheat),37.19,69,,
,Gram Dal,85.73,120,,
,Tur/Arhar Dal,113.66,160,,
,Urad Dal,114.04,157,,
,Moong Dal,109.2,140,,
,Masoor Dal,87.83,125,,
,Sugar,46.13,60,,
,Milk @,58.68,84,,
,Groundnut Oil (Packed),188.84,254,,
,Mustard Oil (Packed),188.49,242,,
,Vanaspati (Packed),154.08,231,,
,Soya Oil (Packed),147.14,192,,
,Sunflower Oil (Packed),161.4,231,,
,Palm Oil (Packed),133.1,190,,
,Gur,55.92,137,,
,Tea Loose,263.44,520,,
,Salt Pack (Iodised),21.46,35,,
,Potato,24.32,52,,
,Onion,25.97,60,,
,Tomato,36.82,140,,
