Date 23/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.07,63,,
Unit:(Rs./Kg.),Wheat,31.84,54,,
,Atta (Wheat),37.08,71,,
,Gram Dal,85.04,122,,
,Tur/Arhar Dal,113.37,160,,
,Urad Dal,113.22,152,,
,Moong Dal,108.9,140,,
,Masoor Dal,88.11,131,,
,Sugar,46.08,60,,
,Milk @,58.55,84,,
,Groundnut Oil (Packed),186.87,280,,
,Mustard Oil (Packed),186.58,242,,
,Vanaspati (Packed),154.17,231,,
,Soya Oil (Packed),146.2,191,,
,Sunflower Oil (Packed),163.87,231,,
,Palm Oil (Packed),133.16,167,,
,Gur,56.05,125,,
,Tea Loose,263.28,560,,
,Salt Pack (Iodised),21.5,35,,
,Potato,26.1,52,,
,Onion,25.16,60,,
,Tomato,48.83,120,,
