Date 21/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.97,65,,
Unit:(Rs./Kg.),Wheat,32.43,57,,
,Atta (Wheat),37.83,71,,
,Gram Dal,88.49,129,,
,Tur/Arhar Dal,133.7,181,,
,Urad Dal,119.94,156,,
,Moong Dal,112.65,150,,
,Masoor Dal,88.5,130,,
,Sugar,45.58,60,,
,Milk @,58.34,80,,
,Groundnut Oil (Packed),190.95,279,,
,Mustard Oil (Packed),168.27,229,,
,Vanaspati (Packed),152.1,209,,
,Soya Oil (Packed),145.39,211,,
,Sunflower Oil (Packed),158.54,211,,
,Palm Oil (Packed),138.71,179,,
,Gur,54.22,130,,
,Tea Loose,271.41,520,,
,Salt Pack (Iodised),21.33,32,,
,Potato,23.91,60,,
,Onion,33.1,80,,
,Tomato,21.09,100,,
