Date 17/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.98,63,,
Unit:(Rs./Kg.),Wheat,31.68,54,,
,Atta (Wheat),36.98,69,,
,Gram Dal,85.75,110,,
,Tur/Arhar Dal,115.3,160,,
,Urad Dal,113.51,157,,
,Moong Dal,109.27,152,,
,Masoor Dal,87.87,126,,
,Sugar,45.84,60,,
,Milk @,58.1,84,,
,Groundnut Oil (Packed),188.33,254,,
,Mustard Oil (Packed),188.73,259,,
,Vanaspati (Packed),154.76,231,,
,Soya Oil (Packed),147.41,187,,
,Sunflower Oil (Packed),160.41,231,,
,Palm Oil (Packed),130.42,177,,
,Gur,55.05,127,,
,Tea Loose,263.27,520,,
,Salt Pack (Iodised),21.12,33,,
,Potato,25.1,52,,
,Onion,26.85,60,,
,Tomato,52.64,113,,
