Date 22/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.69,64,,
Unit:(Rs./Kg.),Wheat,31.28,55,,
,Atta (Wheat),36.77,71,,
,Gram Dal,86.79,140,,
,Tur/Arhar Dal,126.44,185,,
,Urad Dal,117.48,157,,
,Moong Dal,111.46,149,,
,Masoor Dal,88.37,130,,
,Sugar,45.9,62,,
,Milk @,58.99,80,,
,Groundnut Oil (Packed),189.13,279,,
,Mustard Oil (Packed),170.54,242,,
,Vanaspati (Packed),155.19,231,,
,Soya Oil (Packed),146.92,191,,
,Sunflower Oil (Packed),160.85,231,,
,Palm Oil (Packed),135.11,182,,
,Gur,54.84,128,,
,Tea Loose,271.99,600,,
,Salt Pack (Iodised),21.39,31,,
,Potato,24.55,60,,
,Onion,26.56,65,,
,Tomato,24.38,100,,
