Date 10/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.79,64,,
Unit:(Rs./Kg.),Wheat,31.11,52,,
,Atta (Wheat),36.87,71,,
,Gram Dal,85.93,140,,
,Tur/Arhar Dal,125.75,185,,
,Urad Dal,116.92,155,,
,Moong Dal,110.95,145,,
,Masoor Dal,87.42,130,,
,Sugar,46.03,62,,
,Milk @,59.57,82,,
,Groundnut Oil (Packed),189.4,279,,
,Mustard Oil (Packed),169.04,242,,
,Vanaspati (Packed),154.1,214,,
,Soya Oil (Packed),147.21,186,,
,Sunflower Oil (Packed),160.91,209,,
,Palm Oil (Packed),135.84,189,,
,Gur,54.77,120,,
,Tea Loose,267.93,600,,
,Salt Pack (Iodised),21.47,33,,
,Potato,23.74,60,,
,Onion,27.21,67,,
,Tomato,22.37,100,,
