Date 05/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.59,68,29,40,51.33,53.25,44.5,40.91,38,44,38.29,40,51.5,54.5,37.83,38.5,41,45,39,53.66,49.36,47,38.04,48.21,52,37.2,49.73,43,39.14,65,39.93,42.11,49.33,57.85,56.1,37.75,39.37,38,43.95
Unit:(Rs./Kg.),Wheat,31.59,58,22,28,,42.25,45,37.18,28.95,31,34,30,39.5,50,34.33,29.25,24,33.33,31.67,42.63,46.75,,29.77,40,49,43,42.13,42.57,38.13,48,27.07,29.18,38.83,45.84,40.5,,28.17,25.67,30.5
,Atta (Wheat),36.7,70,28,35,69,44.75,43,39.43,34.74,36,37.43,34,46.5,45,35.33,34.25,36,39.29,36.11,44.69,45.93,43,34.35,44.47,49,41.9,48.27,49.27,42.05,47,32.8,33.5,39.33,54.76,44.4,40.25,33.68,36.67,39.25
,Gram Dal,95.38,145,70,90,111,100.5,103,96.22,88.45,90,96.29,100,100,106.5,95,92,99.17,97.43,92.82,94.91,111.62,134,93,99.63,118,110.17,101.13,100.45,98.5,96,99.8,89.79,97,102.71,91.4,99.67,89.19,90,91.5
,Tur/Arhar Dal,161.91,195,124,160,177.33,169.25,179.5,168.83,155.76,165,158.57,163,167,166.5,166,167,165.92,165.17,160.17,157.97,175.92,177,156.92,166.16,179,178.6,156.14,165.67,156.81,185,168.67,163.46,170,170.79,163.4,165,153.68,166.67,163.95
,Urad Dal,125.25,170,85,120,163,131,128.25,112.62,121.08,125,117.71,143,145,155,123.5,118,133.83,127.57,122.11,130.84,142.83,141,118.2,129.79,134,133,135.29,123.13,119.55,149,131.4,120.18,124.33,137.94,128.5,129,120.27,118,125.65
,Moong Dal,116.3,160,87,120,137.33,121.25,118.25,116.39,113.42,116,114.71,123,127,131.5,111.17,117,116.33,122.14,113.11,118.59,131.85,128.5,109.43,120.42,128,122.7,138.75,121.4,114,113,117.2,107.96,126.67,121.74,115.8,112,111.81,116.33,117.15
,Masoor Dal,90.2,160,74,90,104,93.25,101.25,91,80.74,90,89.29,90,92.5,100.5,83.83,86,87.42,104.57,82,93.38,101.85,131.5,86.55,93.32,92,87.6,98.45,98.13,82.95,94,93.8,86.93,95.83,92.27,93.3,105.5,87.59,96,96.75
,Sugar,45.03,60,35,44,54.33,44,53.75,47.36,44.7,45,43.86,45,43,44,43.17,44.75,47,50.43,45.53,42.97,44.07,55,42.79,43.58,54,49.4,51.82,50.14,44.86,48,44.73,42.75,51.5,44.12,40.3,49.5,43.97,44,46.35
,Milk @,58.59,83,39,60,73.67,56.75,75.25,72.7,56.16,60,56,56,66,59,63,58.25,52.92,55,59.31,51.28,54.36,60,55.9,59.21,,73.6,78.73,72.5,53.45,48,59.8,52.64,64.17,47.44,58.1,74.25,61.75,63.33,55.5
,Groundnut Oil (Packed),195.26,275,132,188.33,237,179.25,169,203.29,191.82,183,199.67,216,213.5,241,186,211.75,225.75,,193,183.78,235.33,,194.29,197.42,,,152,,196.5,249,231.77,186.04,,216.38,169.1,,198.79,170.67,206.25
,Mustard Oil (Packed),166.3,211,124,165,164.33,176.5,177.33,169.5,155.51,139,161.43,178,187,184,168.67,156,185.5,187,170.28,170.56,192.5,176,163.39,183,181,163.5,180.22,152.8,180.81,156,169.07,152.5,189.33,182.44,162.9,178.5,161.18,160.33,168.42
,Vanaspati (Packed),140.98,209,92,143,163.67,135.25,129,141.53,133.78,124,127.86,161,163.5,162,137.5,135.25,156,153.57,142.67,127.97,167.38,183,137.14,147.53,154,157,134.43,152.33,143.74,151,160.93,129.33,142.17,151.94,111.78,139,139.69,141,139.56
,Soya Oil (Packed),139.67,198,92,148,,135,140,142.14,136.47,119,133,156,148,168.5,138.83,137,145.8,148.14,142.89,135.63,146,192,139.51,147.05,154,152.2,131.55,156.2,142.71,,151.47,130.69,155.5,,114.38,146.75,138.99,140,134.58
