Date 07/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.57,63,,
Unit:(Rs./Kg.),Wheat,31.25,55,,
,Atta (Wheat),36.66,68,,
,Gram Dal,86,140,,
,Tur/Arhar Dal,121.14,183,,
,Urad Dal,115.38,170,,
,Moong Dal,110.71,148,,
,Masoor Dal,88.18,130,,
,Sugar,45.86,60,,
,Milk @,58.94,82,,
,Groundnut Oil (Packed),187.98,273,,
,Mustard Oil (Packed),174.9,242,,
,Vanaspati (Packed),156.02,231,,
,Soya Oil (Packed),146.43,194,,
,Sunflower Oil (Packed),159.77,231,,
,Palm Oil (Packed),130.44,177,,
,Gur,55.61,133,,
,Tea Loose,270.24,600,,
,Salt Pack (Iodised),21.44,32,,
,Potato,25.51,51,,
,Onion,28.09,75,,
,Tomato,40.1,120,,
