Date 18/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.04,66,,
Unit:(Rs./Kg.),Wheat,32.54,55,,
,Atta (Wheat),37.88,71,,
,Gram Dal,88.91,140,,
,Tur/Arhar Dal,134.57,182,,
,Urad Dal,120.24,156,,
,Moong Dal,112.63,150,,
,Masoor Dal,88.55,130,,
,Sugar,45.56,60,,
,Milk @,58.31,80,,
,Groundnut Oil (Packed),192,279,,
,Mustard Oil (Packed),168.97,227,,
,Vanaspati (Packed),151.95,209,,
,Soya Oil (Packed),145.89,211,,
,Sunflower Oil (Packed),158.39,211,,
,Palm Oil (Packed),138.54,181,,
,Gur,54.06,130,,
,Tea Loose,271.2,520,,
,Salt Pack (Iodised),21.39,32,,
,Potato,24.06,60,,
,Onion,34.56,80,,
,Tomato,21.59,100,,
