Date 12/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.05,61,,
Unit:(Rs./Kg.),Wheat,31.78,53,,
,Atta (Wheat),37.22,69,,
,Gram Dal,85.42,120,,
,Tur/Arhar Dal,112.88,160,,
,Urad Dal,113.61,157,,
,Moong Dal,108.97,140,,
,Masoor Dal,87.78,125,,
,Sugar,46.16,60,,
,Milk @,58.28,85,,
,Groundnut Oil (Packed),186.83,254,,
,Mustard Oil (Packed),188.32,242,,
,Vanaspati (Packed),155.46,231,,
,Soya Oil (Packed),146.23,192,,
,Sunflower Oil (Packed),162.59,264,,
,Palm Oil (Packed),133.26,190,,
,Gur,56.41,140,,
,Tea Loose,264.69,520,,
,Salt Pack (Iodised),21.61,35,,
,Potato,24.15,50,,
,Onion,25.09,60,,
,Tomato,36.49,120,,
