Date 07/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.9,63,,
Unit:(Rs./Kg.),Wheat,31.78,54,,
,Atta (Wheat),37.11,67,,
,Gram Dal,84.81,130,,
,Tur/Arhar Dal,113.13,190,,
,Urad Dal,113.12,152,,
,Moong Dal,108.82,140,,
,Masoor Dal,87.63,142,,
,Sugar,46.17,60,,
,Milk @,58.27,84,,
,Groundnut Oil (Packed),187.29,286,,
,Mustard Oil (Packed),185.82,242,,
,Vanaspati (Packed),154.47,231,,
,Soya Oil (Packed),147.03,191,,
,Sunflower Oil (Packed),165.05,231,,
,Palm Oil (Packed),132.69,165,,
,Gur,55.76,137,,
,Tea Loose,264.59,650,,
,Salt Pack (Iodised),21.7,35,,
,Potato,25.3,52,,
,Onion,24.77,60,,
,Tomato,47.21,120,,
