Date 08/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.14,64,,
Unit:(Rs./Kg.),Wheat,31.76,54,,
,Atta (Wheat),37.09,70,,
,Gram Dal,86.98,136,,
,Tur/Arhar Dal,115.25,180,,
,Urad Dal,113.81,170,,
,Moong Dal,110.52,150,,
,Masoor Dal,89.52,140,,
,Sugar,46.49,60,,
,Milk @,59.26,83,,
,Groundnut Oil (Packed),188.04,254,,
,Mustard Oil (Packed),187.98,257,,
,Vanaspati (Packed),156.68,264,,
,Soya Oil (Packed),146.51,198,,
,Sunflower Oil (Packed),162.96,231,,
,Palm Oil (Packed),132.66,190,,
,Gur,57.14,140,,
,Tea Loose,272.12,600,,
,Salt Pack (Iodised),21.46,35,,
,Potato,25.17,52,,
,Onion,26.7,60,,
,Tomato,38.48,120,,
