,Date 01/02/2026
Rice,42.06
Wheat,31.92
Atta (Wheat),37.51
Gram Dal,84.08
Tur/Arhar Dal,116.26
Urad Dal,114.66
Moong Dal,108.92
Masoor Dal,87.54
Sugar,45.79
Milk @,58.15
Groundnut Oil (Packed),191.44
Mustard Oil (Packed),185.19
Vanaspati (Packed),155.0
Soya Oil (Packed),149.02
Sunflower Oil (Packed),172.01
Palm Oil (Packed),135.62
Gur,55.76
Tea Loose,263.81
Salt Pack (Iodised),21.81
Potato,21.63
Onion,26.81
Tomato,34.61
Bajra (whole),37.59
Jowar (whole),43.21
Maida (wheat),41.02
Ragi (whole),54.63
Suji (whole),44.77
Besan,95.04
Desi Ghee,676.94
Butter (Pasteurised),58.72
Eggs,83.66
Brinjal,39.29
Black Pepper (whole),86.43
Coriander (whole),36.5
Cummin Seed (whole),39.87
Red Chillies (whole),27.18
Turmeric (powder),15.82
Banana,45.65
Ginger,24.27
Garlic,37.61
