Date 01/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.82,65,,
Unit:(Rs./Kg.),Wheat,31.39,54,,
,Atta (Wheat),36.92,68,,
,Gram Dal,84.8,110,,
,Tur/Arhar Dal,121.64,162,,
,Urad Dal,115.77,157,,
,Moong Dal,110.18,140,,
,Masoor Dal,86.56,111,,
,Sugar,45.58,62,,
,Milk @,57.85,82,,
,Groundnut Oil (Packed),187.22,254,,
,Mustard Oil (Packed),171.46,242,,
,Vanaspati (Packed),154.74,231,,
,Soya Oil (Packed),147.81,187,,
,Sunflower Oil (Packed),161.01,231,,
,Palm Oil (Packed),134.22,182,,
,Gur,53.72,147,,
,Tea Loose,261.54,520,,
,Salt Pack (Iodised),21.54,31,,
,Potato,23.94,47,,
,Onion,24.65,60,,
,Tomato,23.66,80,,
