,Date 23/08/2026
Rice,45.08
Broken Rice,32.23
Wheat,31.76
Atta (Wheat),37.64
Gram Dal,85.88
Tur/Arhar Dal,122.12
Urad Dal,121.76
Moong Dal,110.76
Masoor Dal,89.1
Sugar,62.47
Milk @,60.15
Groundnut Oil (Packed),205.93
Mustard Oil (Packed),197.82
Vanaspati (Packed),165.41
Soya Oil (Packed),164.12
Sunflower Oil (Packed),191.43
Palm Oil (Packed),149.42
Gur,64.79
Tea Loose,268.8
Salt Pack (Iodised),22.62
Potato,21.94
Onion,42.04
Tomato,37.5
Bajra (whole),38.12
Jowar (whole),44.48
Maida (wheat),41.32
Ragi (whole),56.32
Suji (whole),45.08
Besan,95.31
Desi Ghee,693.29
Butter (Pasteurised),60.12
Eggs,83.85
Brinjal,41.86
Black Pepper (whole),87.88
Coriander (whole),41.83
Cummin Seed (whole),40.15
Red Chillies (whole),29.77
Turmeric (powder),16.24
Banana,48.97
Ginger,37.47
Garlic,42.99
