Date 26/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.98,64,,
Unit:(Rs./Kg.),Wheat,31.57,54,,
,Atta (Wheat),36.86,71,,
,Gram Dal,87.27,140,,
,Tur/Arhar Dal,117.21,183,,
,Urad Dal,114.03,157,,
,Moong Dal,110.23,148,,
,Masoor Dal,89.35,133,,
,Sugar,46.27,60,,
,Milk @,59.18,85,,
,Groundnut Oil (Packed),188.04,279,,
,Mustard Oil (Packed),188.39,249,,
,Vanaspati (Packed),156.29,231,,
,Soya Oil (Packed),147.33,198,,
,Sunflower Oil (Packed),161.65,253,,
,Palm Oil (Packed),131.81,190,,
,Gur,56.52,128,,
,Tea Loose,273.5,600,,
,Salt Pack (Iodised),21.45,33,,
,Potato,25.71,60,,
,Onion,28.68,60,,
,Tomato,54.68,120,,
