Date 05/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.39,64,,
Unit:(Rs./Kg.),Wheat,31.84,58,,
,Atta (Wheat),37.73,71,,
,Gram Dal,87.36,140,,
,Tur/Arhar Dal,129.63,183,,
,Urad Dal,118.98,156,,
,Moong Dal,112.23,150,,
,Masoor Dal,88.27,130,,
,Sugar,45.82,60,,
,Milk @,59,80,,
,Groundnut Oil (Packed),190.33,279,,
,Mustard Oil (Packed),169.47,234,,
,Vanaspati (Packed),154,209,,
,Soya Oil (Packed),146.78,211,,
,Sunflower Oil (Packed),160,211,,
,Palm Oil (Packed),139.07,182,,
,Gur,54.73,130,,
,Tea Loose,268.97,520,,
,Salt Pack (Iodised),21.16,31,,
,Potato,23.38,57,,
,Onion,30.86,80,,
,Tomato,21.14,100,,
