Date 31/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.77,63,,
Unit:(Rs./Kg.),Wheat,31.48,55,,
,Atta (Wheat),36.82,70,,
,Gram Dal,87.02,140,,
,Tur/Arhar Dal,119.25,183,,
,Urad Dal,114.96,170,,
,Moong Dal,110.66,148,,
,Masoor Dal,88.83,130,,
,Sugar,46.02,60,,
,Milk @,59.04,83,,
,Groundnut Oil (Packed),188.47,254,,
,Mustard Oil (Packed),184.29,253,,
,Vanaspati (Packed),156.54,231,,
,Soya Oil (Packed),147.24,198,,
,Sunflower Oil (Packed),160.52,253,,
,Palm Oil (Packed),130.11,177,,
,Gur,56.17,128,,
,Tea Loose,272.19,600,,
,Salt Pack (Iodised),21.41,33,,
,Potato,25.62,53,,
,Onion,28.17,60,,
,Tomato,47.97,120,,
