,Date 11/04/2026
Rice,42.07
Wheat,30.81
Atta (Wheat),36.86
Gram Dal,84.59
Tur/Arhar Dal,121.85
Urad Dal,117.32
Moong Dal,110.83
Masoor Dal,88.81
Sugar,46.64
Milk @,59.79
Groundnut Oil (Packed),200.96
Mustard Oil (Packed),188.75
Vanaspati (Packed),158.66
Soya Oil (Packed),157.79
Sunflower Oil (Packed),184.04
Palm Oil (Packed),144.34
Gur,56.9
Tea Loose,270.93
Salt Pack (Iodised),21.69
Potato,19.46
Onion,24.88
Tomato,26.83
Bajra (whole),37.67
Jowar (whole),43.74
Maida (wheat),41.64
Ragi (whole),55.5
Suji (whole),46.55
Besan,95.84
Desi Ghee,684.87
Butter (Pasteurised),58.8
Eggs,77.88
Brinjal,38.47
Black Pepper (whole),87.14
Coriander (whole),38.2
Cummin Seed (whole),41.19
Red Chillies (whole),28.74
Turmeric (powder),16.23
Banana,48.23
Ginger,24.93
Garlic,36.5
