Date 23/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.06,67,,
Unit:(Rs./Kg.),Wheat,33.44,57,,
,Atta (Wheat),38.56,66,,
,Gram Dal,89.2,129,,
,Tur/Arhar Dal,136.64,187,,
,Urad Dal,120.68,161,,
,Moong Dal,111.52,140,,
,Masoor Dal,87.62,123,,
,Sugar,45.12,60,,
,Milk @,57.71,83,,
,Groundnut Oil (Packed),192.13,257,,
,Mustard Oil (Packed),170.59,217,,
,Vanaspati (Packed),150.78,209,,
,Soya Oil (Packed),146.53,200,,
,Sunflower Oil (Packed),157.25,190,,
,Palm Oil (Packed),138.24,176,,
,Gur,53.07,130,,
,Tea Loose,264.71,520,,
,Salt Pack (Iodised),21.63,31,,
,Potato,23.41,57,,
,Onion,35.8,80,,
,Tomato,20.13,100,,
