,Date 21/06/2026
Rice,43.22
Broken Rice,31.88
Wheat,31.22
Atta (Wheat),36.99
Gram Dal,84.02
Tur/Arhar Dal,121.29
Urad Dal,118.23
Moong Dal,110.01
Masoor Dal,88.32
Sugar,46.41
Milk @,59.26
Groundnut Oil (Packed),204.17
Mustard Oil (Packed),191.44
Vanaspati (Packed),162.03
Soya Oil (Packed),162.24
Sunflower Oil (Packed),188.52
Palm Oil (Packed),149.12
Gur,57.03
Tea Loose,265.53
Salt Pack (Iodised),22.36
Potato,21.2
Onion,26.59
Tomato,42.55
Bajra (whole),37.67
Jowar (whole),43.59
Maida (wheat),40.85
Ragi (whole),55.0
Suji (whole),44.82
Besan,95.27
Desi Ghee,688.87
Butter (Pasteurised),59.26
Eggs,80.24
Brinjal,40.35
Black Pepper (whole),87.16
Coriander (whole),39.39
Cummin Seed (whole),39.96
Red Chillies (whole),28.93
Turmeric (powder),16.02
Banana,47.81
Ginger,30.84
Garlic,37.7
