Date 08/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.32,64,,
Unit:(Rs./Kg.),Wheat,32.9,59,,
,Atta (Wheat),38.14,71,,
,Gram Dal,90.09,140,,
,Tur/Arhar Dal,142.28,180,,
,Urad Dal,121.65,161,,
,Moong Dal,112.79,150,,
,Masoor Dal,88.44,130,,
,Sugar,45.1,60,,
,Milk @,58.81,83,,
,Groundnut Oil (Packed),190.58,280,,
,Mustard Oil (Packed),168.81,217,,
,Vanaspati (Packed),148.38,209,,
,Soya Oil (Packed),144.67,202,,
,Sunflower Oil (Packed),153.86,211,,
,Palm Oil (Packed),134.37,176,,
,Gur,54.01,130,,
,Tea Loose,270.33,520,,
,Salt Pack (Iodised),21.6,31,,
,Potato,25.67,65,,
,Onion,35.81,80,,
,Tomato,23.3,100,,
