,Date 12/06/2026
Rice,43.59
Broken Rice,33.58
Wheat,30.8
Atta (Wheat),36.83
Gram Dal,85.5
Tur/Arhar Dal,122.89
Urad Dal,118.66
Moong Dal,111.62
Masoor Dal,90.02
Sugar,46.87
Milk @,60.52
Groundnut Oil (Packed),203.23
Mustard Oil (Packed),191.83
Vanaspati (Packed),163.15
Soya Oil (Packed),161.79
Sunflower Oil (Packed),187.2
Palm Oil (Packed),147.32
Gur,58.33
Tea Loose,273.13
Salt Pack (Iodised),21.77
Potato,21.64
Onion,26.96
Tomato,42.43
Bajra (whole),38.08
Jowar (whole),44.38
Maida (wheat),42.02
Ragi (whole),55.07
Suji (whole),46.92
Besan,95.8
Desi Ghee,688.69
Butter (Pasteurised),59.27
Eggs,80.25
Brinjal,41.52
Black Pepper (whole),87.82
Coriander (whole),39.92
Cummin Seed (whole),41.1
Red Chillies (whole),29.28
Turmeric (powder),16.55
Banana,49.12
Ginger,29.87
Garlic,38.84
