,Date 21/02/2026
Rice,42.72
Wheat,31.74
Atta (Wheat),37.46
Gram Dal,85.64
Tur/Arhar Dal,120.88
Urad Dal,116.25
Moong Dal,110.79
Masoor Dal,88.79
Sugar,46.39
Milk @,59.42
Groundnut Oil (Packed),191.58
Mustard Oil (Packed),186.92
Vanaspati (Packed),156.4
Soya Oil (Packed),150.12
Sunflower Oil (Packed),174.13
Palm Oil (Packed),135.99
Gur,56.73
Tea Loose,271.28
Salt Pack (Iodised),21.54
Potato,21.67
Onion,27.13
Tomato,31.14
Bajra (whole),38.37
Jowar (whole),44.1
Maida (wheat),41.69
Ragi (whole),53.8
Suji (whole),46.2
Besan,96.0
Desi Ghee,678.13
Butter (Pasteurised),58.95
Eggs,81.99
Brinjal,39.32
Black Pepper (whole),87.06
Coriander (whole),37.6
Cummin Seed (whole),41.14
Red Chillies (whole),27.92
Turmeric (powder),16.14
Banana,47.95
Ginger,24.57
Garlic,38.6
