Date 04/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.75,68,,
Unit:(Rs./Kg.),Wheat,31.69,54,,
,Atta (Wheat),37.03,71,,
,Gram Dal,86.78,140,,
,Tur/Arhar Dal,116.63,182,,
,Urad Dal,113.91,170,,
,Moong Dal,109.97,140,,
,Masoor Dal,89.24,133,,
,Sugar,46.36,60,,
,Milk @,59.18,84,,
,Groundnut Oil (Packed),187.4,279,,
,Mustard Oil (Packed),188.33,249,,
,Vanaspati (Packed),155.15,231,,
,Soya Oil (Packed),147.52,198,,
,Sunflower Oil (Packed),161.09,231,,
,Palm Oil (Packed),130.66,190,,
,Gur,56.4,128,,
,Tea Loose,273.33,600,,
,Salt Pack (Iodised),21.56,33,,
,Potato,25.05,55,,
,Onion,28.28,60,,
,Tomato,47.69,120,,
