Date 19/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.9,63,,
Unit:(Rs./Kg.),Wheat,31.55,54,,
,Atta (Wheat),36.92,71,,
,Gram Dal,87.43,140,,
,Tur/Arhar Dal,117.96,183,,
,Urad Dal,114.51,157,,
,Moong Dal,110.55,152,,
,Masoor Dal,89.25,136,,
,Sugar,46.27,60,,
,Milk @,59.06,85,,
,Groundnut Oil (Packed),188.1,279,,
,Mustard Oil (Packed),187.66,249,,
,Vanaspati (Packed),156.24,231,,
,Soya Oil (Packed),147.57,198,,
,Sunflower Oil (Packed),161.32,253,,
,Palm Oil (Packed),131.24,177,,
,Gur,56.51,128,,
,Tea Loose,272.53,600,,
,Salt Pack (Iodised),21.33,33,,
,Potato,25.71,60,,
,Onion,28.64,60,,
,Tomato,54.64,120,,
