,Date 17/07/2026
Rice,44.56
Broken Rice,32.92
Wheat,31.28
Atta (Wheat),37.07
Gram Dal,86.14
Tur/Arhar Dal,123.11
Urad Dal,120.19
Moong Dal,111.7
Masoor Dal,90.34
Sugar,47.9
Milk @,60.78
Groundnut Oil (Packed),205.87
Mustard Oil (Packed),194.52
Vanaspati (Packed),164.89
Soya Oil (Packed),163.69
Sunflower Oil (Packed),188.69
Palm Oil (Packed),147.89
Gur,59.15
Tea Loose,276.23
Salt Pack (Iodised),21.92
Potato,22.78
Onion,34.53
Tomato,41.45
Bajra (whole),38.25
Jowar (whole),44.43
Maida (wheat),42.09
Ragi (whole),55.22
Suji (whole),47.15
Besan,95.91
Desi Ghee,691.27
Butter (Pasteurised),59.62
Eggs,85.4
Brinjal,42.54
Black Pepper (whole),88.32
Coriander (whole),41.32
Cummin Seed (whole),41.14
Red Chillies (whole),29.58
Turmeric (powder),16.58
Banana,49.96
Ginger,36.91
Garlic,42.69
