Date 19/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.84,64,,
Unit:(Rs./Kg.),Wheat,31.37,55,,
,Atta (Wheat),36.74,71,,
,Gram Dal,86.36,140,,
,Tur/Arhar Dal,122.87,183,,
,Urad Dal,116.07,157,,
,Moong Dal,111.27,149,,
,Masoor Dal,88.11,130,,
,Sugar,45.93,60,,
,Milk @,58.93,83,,
,Groundnut Oil (Packed),188.63,279,,
,Mustard Oil (Packed),172.05,242,,
,Vanaspati (Packed),156.26,231,,
,Soya Oil (Packed),146.58,189,,
,Sunflower Oil (Packed),160.15,231,,
,Palm Oil (Packed),131.8,182,,
,Gur,55.47,143,,
,Tea Loose,270.59,600,,
,Salt Pack (Iodised),21.42,32,,
,Potato,25.49,60,,
,Onion,27.08,73,,
,Tomato,34.09,103,,
