Date 25/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.63,68,30,40,51.33,53,44.5,42.16,37.89,44,38.14,40,48,54.5,37.33,40,41.17,44.57,38.89,53.78,49.5,47.5,37.98,48.37,50,37.67,49.73,42.81,39.35,65,40,41.9,49.33,57.85,55.9,38,39.47,38,43.8
Unit:(Rs./Kg.),Wheat,31.56,58,22,28,,42.25,45,36.08,28.84,31,33.71,30,38.67,50,33.83,29.67,24,32.83,31.39,42.16,46.42,,29.64,39.84,46,42.13,42.13,42.25,37.79,48,26.87,29.24,38.83,45.84,40.5,,28.08,28,30.56
,Atta (Wheat),36.57,70,28,35,69,44.75,43,39.08,34.57,36,37,34,44.67,45,34.83,34.67,35.58,38.71,36.17,44.38,45.71,45,34.16,44.37,48,41.11,47.82,48.38,41.76,44,32.13,33.38,39.33,54.88,44.1,39.5,33.63,35.25,38.55
,Gram Dal,94.87,145,70,90,110,102,103,95.68,87.92,90,96,100,100,106.5,96,93.67,98.92,98.14,92.88,95.31,110.23,131,92.35,99.47,117,109.6,101.13,95.83,97.28,91,99.53,89.79,97,102.79,90.6,99,88.76,87.5,89.1
,Tur/Arhar Dal,162.13,194,124,160,174.67,171.25,179.5,168.88,155.32,165,159.29,163,162,166.5,166.67,167,168.58,168.17,161.61,159.56,177.08,190,157.11,166.05,178,179,156.14,165.2,157.35,182,167.6,164.62,170,169.84,162.6,164,154.27,164.5,163.45
,Urad Dal,125.03,170,85,120,161.67,130.5,128.25,112.09,120.92,125,117.43,143,141.67,155,123.33,119,132.92,128.29,121.94,131.13,142.42,141,118.22,130.42,136,133,135.43,121.11,118.28,149,131,120.38,124.33,138.29,127.8,129,120.28,120,124.65
,Moong Dal,116.23,160,87,120,138.33,120,118.25,116.04,112.89,116,114.43,123,125.33,131.5,111,117,115.08,122,113.67,119.41,131.54,130,109.2,120.21,128,123.78,137.43,121.31,113.88,115,118.13,107.76,126.67,121.68,115,111.75,112.01,116.5,117.3
,Masoor Dal,89.98,140,74,90,103.33,93,101.25,91.4,80.35,90,89,90,93,100.5,83.67,88,87.17,105.86,82.44,93.66,97,130,86.46,93.58,92,87.67,98.45,97.5,82.46,93,93.47,86.62,95.83,92.13,93,106.5,87.67,96.33,95.75
,Sugar,45.01,60,39,44,54,44.25,55,47.25,44.51,45,43.57,45,44,44,43.17,45,47,50.14,45.65,42.84,44.14,55,42.73,43.58,54,49.44,51.73,50.75,44.46,48,44.73,42.9,51.5,44.18,40.4,49.5,43.95,44,45.95
,Milk @,58.66,83,40,60,73.67,56.75,75.67,72.39,56.38,60,56,56,65.67,59,63,59,52.92,54.57,59.25,51.28,54.36,60,55.7,59.21,,74,78.73,73.21,53.08,48,59.8,52.39,64.17,47.41,58.2,73.5,61.79,62,55.55
,Groundnut Oil (Packed),194.36,275,132,187,237,178,169,198.14,191.29,183,194.5,216,218.33,241,185.33,208,225.75,,191.21,182.09,231.67,,192.76,196.84,,,152,200,192.5,232,231.54,187.29,,213.97,167.5,,198.92,166.75,205.89
,Mustard Oil (Packed),164.42,209,124,181,164.33,174,177,168.75,153.83,139,155.86,178,189,177.5,168.17,156.33,184.08,184.5,170,168.66,190,173.5,162.15,181.28,181,158.56,184.63,149.25,175.5,147,169.27,152.34,189.33,181.04,162.3,177.25,160.16,153.75,162.9
,Vanaspati (Packed),138.91,183,92,137,163.33,131.25,129,144.28,132.14,124,126.14,159,159.67,161,137.5,137.33,155.25,152.29,142.11,125.72,163.58,179,134.41,146.21,154,157,134.43,152.33,137.12,144,157.73,128.04,142.17,147.79,110.22,139,138.03,143.5,134
,Soya Oil (Packed),137.62,198,92,148,,130.5,141.75,141.74,135.11,119,131.86,156,151.67,162,137.67,136,145.2,145.43,142.78,134.59,146,192,136.24,144,154,148.56,131.27,156,136.44,,147.6,130.11,155.5,,114.5,144,137.57,138.75,130.45
,Sunflower Oil (Packed),142.63,242,105,148,135,149.75,166,147.21,151.09,120,139.29,156,159.67,151.5,138,143.33,149.75,157,154.81,137.97,151.36,242,142.16,149.68,,186,146.4,171.5,141.35,124,157.38,140.25,166,143.56,134.1,166.5,146.59,151,140.11
,Palm Oil (Packed),123.63,176,90,137,117.33,127.67,,121.27,114.89,100,126.2,135,121.33,135,132.33,119,114.5,130.2,122.44,120.97,145.33,,115.32,133.13,154,150,118.83,153.5,122.39,115,131,113.29,,129.03,120.5,130.5,117.43,121,116.83
,Gur,55.45,130,35,50,75.67,59.5,87.67,61.33,47.84,55,48.57,63,67,59,56.17,52.67,50.25,54.14,52.59,51.81,61.77,57.5,50.55,55.21,78,78,107.1,77.6,53.04,58,53.07,45.83,61,57.82,53.3,70.75,52.11,56.5,53.7
,Tea Loose,270.6,520,154,300,309,298.5,380,248.71,270.39,269,218.43,245,262.33,322.5,206.5,242.67,266.75,309.57,255.82,245.63,234,,227.64,307,220,354.67,490.82,307.67,280.05,332,273.2,295.16,401.67,284,284.67,229.5,238.29,267,267.65
,Salt Pack (Iodised),22.01,30,9,27,19.67,20.75,19.33,13.13,23.16,28,18.57,27,27.33,25.5,19.17,26,27.83,27.86,24.82,17.88,15,28,16.07,24.16,25,19.33,29.82,17.88,25.81,26,26.33,19.27,21.33,24.52,20,11,26.19,27.75,23.4
,Potato,37.19,71,24,40,64.67,41.5,38.75,33,32.84,39,39.14,33,36,47.5,41.67,35,37.83,35.43,35,39.91,49.71,43,33.61,40.89,41,39,48.27,41.06,34.12,48,30.6,37.34,41.67,50.35,37.8,40,31.43,36.25,30.9
,Onion,54.67,83,30,60,76,54,60.25,62.63,49.49,52,54.57,57,59.33,56,55.67,55.67,62.92,65.43,53.06,46,60.69,70,48.83,50.63,69,71,64.36,68,56.54,60,57.13,49.79,71.67,58.06,47.2,68.25,49.31,60.75,55.35
,Tomato,63.83,137,27,60,125.67,51,78.75,63.13,58.7,60,65.71,73,60,67,65.17,79.33,75.92,88.86,72.94,45.75,53.69,80,59.04,59.79,93,61.11,100.09,75.38,67.27,48,75.93,60.38,80.83,50.41,54.7,73,62.24,70,73.6
