Date 29/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.01,67,,
Unit:(Rs./Kg.),Wheat,32.8,57,,
,Atta (Wheat),37.77,71,,
,Gram Dal,91.95,140,,
,Tur/Arhar Dal,148.41,187,,
,Urad Dal,122.79,166,,
,Moong Dal,113.47,150,,
,Masoor Dal,89.13,130,,
,Sugar,44.82,60,,
,Milk @,58.45,83,,
,Groundnut Oil (Packed),193.48,280,,
,Mustard Oil (Packed),167.97,228,,
,Vanaspati (Packed),147.84,209,,
,Soya Oil (Packed),143.85,198,,
,Sunflower Oil (Packed),154.28,209,,
,Palm Oil (Packed),134.98,176,,
,Gur,54.57,130,,
,Tea Loose,271.33,520,,
,Salt Pack (Iodised),21.5,31,,
,Potato,28.13,70,,
,Onion,36.96,83,,
,Tomato,25.76,100,,
