Date 13/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.72,63,,
Unit:(Rs./Kg.),Wheat,31.2,53,,
,Atta (Wheat),36.65,66,,
,Gram Dal,84.09,103,,
,Tur/Arhar Dal,117.4,160,,
,Urad Dal,114.08,157,,
,Moong Dal,109.23,148,,
,Masoor Dal,86.91,110,,
,Sugar,45.44,60,,
,Milk @,58.32,82,,
,Groundnut Oil (Packed),187.72,242,,
,Mustard Oil (Packed),176.09,242,,
,Vanaspati (Packed),154.3,219,,
,Soya Oil (Packed),146.69,187,,
,Sunflower Oil (Packed),159.55,258,,
,Palm Oil (Packed),129.93,177,,
,Gur,54.62,123,,
,Tea Loose,262.8,520,,
,Salt Pack (Iodised),21.42,32,,
,Potato,25.02,57,,
,Onion,27.01,73,,
,Tomato,40.63,120,,
