Date 27/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.68,65,,
Unit:(Rs./Kg.),Wheat,32.25,57,,
,Atta (Wheat),37.73,71,,
,Gram Dal,87.87,140,,
,Tur/Arhar Dal,131.74,182,,
,Urad Dal,119.13,156,,
,Moong Dal,112.28,150,,
,Masoor Dal,88.3,130,,
,Sugar,45.63,60,,
,Milk @,58.51,81,,
,Groundnut Oil (Packed),190.7,279,,
,Mustard Oil (Packed),169.38,229,,
,Vanaspati (Packed),152.51,209,,
,Soya Oil (Packed),146.34,211,,
,Sunflower Oil (Packed),159.03,211,,
,Palm Oil (Packed),138.77,177,,
,Gur,54.07,130,,
,Tea Loose,271.58,520,,
,Salt Pack (Iodised),21.28,31,,
,Potato,23.66,60,,
,Onion,32.08,80,,
,Tomato,20.74,100,,
