Date 01/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.8,63,,
Unit:(Rs./Kg.),Wheat,31.55,54,,
,Atta (Wheat),36.81,71,,
,Gram Dal,87.16,140,,
,Tur/Arhar Dal,119.2,183,,
,Urad Dal,114.87,157,,
,Moong Dal,110.72,148,,
,Masoor Dal,88.82,138,,
,Sugar,46.05,60,,
,Milk @,59.03,83,,
,Groundnut Oil (Packed),188.22,279,,
,Mustard Oil (Packed),185.19,249,,
,Vanaspati (Packed),156.51,231,,
,Soya Oil (Packed),147.23,198,,
,Sunflower Oil (Packed),160.77,253,,
,Palm Oil (Packed),130.26,177,,
,Gur,56.32,128,,
,Tea Loose,272.36,600,,
,Salt Pack (Iodised),21.44,33,,
,Potato,25.7,57,,
,Onion,28.24,60,,
,Tomato,48.77,120,,
