Date 12/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.64,66,,
Unit:(Rs./Kg.),Wheat,31.23,55,,
,Atta (Wheat),36.68,71,,
,Gram Dal,86.46,140,,
,Tur/Arhar Dal,123.63,185,,
,Urad Dal,116.14,157,,
,Moong Dal,111.34,148,,
,Masoor Dal,88.21,130,,
,Sugar,45.88,60,,
,Milk @,58.92,83,,
,Groundnut Oil (Packed),188.56,279,,
,Mustard Oil (Packed),171.61,242,,
,Vanaspati (Packed),155.44,231,,
,Soya Oil (Packed),146.41,189,,
,Sunflower Oil (Packed),160.27,231,,
,Palm Oil (Packed),131.6,182,,
,Gur,55.08,150,,
,Tea Loose,270.9,600,,
,Salt Pack (Iodised),21.31,32,,
,Potato,25.16,60,,
,Onion,26.64,73,,
,Tomato,31.35,100,,
