Date 15/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.28,65,,
Unit:(Rs./Kg.),Wheat,32.88,55,,
,Atta (Wheat),38.3,71,,
,Gram Dal,89.21,140,,
,Tur/Arhar Dal,133.86,181,,
,Urad Dal,120.88,156,,
,Moong Dal,113.16,147,,
,Masoor Dal,89.33,130,,
,Sugar,45.61,60,,
,Milk @,59,80,,
,Groundnut Oil (Packed),190.08,279,,
,Mustard Oil (Packed),169.89,224,,
,Vanaspati (Packed),153.31,209,,
,Soya Oil (Packed),146.63,198,,
,Sunflower Oil (Packed),159.05,211,,
,Palm Oil (Packed),138.72,181,,
,Gur,55.07,130,,
,Tea Loose,268.8,520,,
,Salt Pack (Iodised),20.84,31,,
,Potato,24.78,60,,
,Onion,35.67,77,,
,Tomato,22.08,100,,
