Date 26/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.67,63,,
Unit:(Rs./Kg.),Wheat,31.16,55,,
,Atta (Wheat),36.55,71,,
,Gram Dal,86.33,140,,
,Tur/Arhar Dal,122.39,183,,
,Urad Dal,115.92,180,,
,Moong Dal,111.09,149,,
,Masoor Dal,88.07,130,,
,Sugar,45.89,60,,
,Milk @,58.97,82,,
,Groundnut Oil (Packed),188.75,279,,
,Mustard Oil (Packed),172.58,242,,
,Vanaspati (Packed),155.8,231,,
,Soya Oil (Packed),146.56,189,,
,Sunflower Oil (Packed),160.15,231,,
,Palm Oil (Packed),131.52,182,,
,Gur,55.43,147,,
,Tea Loose,269.65,600,,
,Salt Pack (Iodised),21.32,32,,
,Potato,25.52,60,,
,Onion,27.67,80,,
,Tomato,35.53,120,,
