,Date 04/07/2026
Rice,43.76
Broken Rice,32.72
Wheat,31.13
Atta (Wheat),36.82
Gram Dal,85.69
Tur/Arhar Dal,122.67
Urad Dal,119.21
Moong Dal,111.22
Masoor Dal,89.53
Sugar,47.12
Milk @,61.0
Groundnut Oil (Packed),203.25
Mustard Oil (Packed),193.41
Vanaspati (Packed),163.91
Soya Oil (Packed),163.22
Sunflower Oil (Packed),188.56
Palm Oil (Packed),147.62
Gur,58.61
Tea Loose,273.67
Salt Pack (Iodised),21.75
Potato,22.33
Onion,31.27
Tomato,42.45
Bajra (whole),38.39
Jowar (whole),44.25
Maida (wheat),42.07
Ragi (whole),54.79
Suji (whole),46.55
Besan,96.11
Desi Ghee,690.42
Butter (Pasteurised),59.4
Eggs,82.97
Brinjal,41.12
Black Pepper (whole),87.99
Coriander (whole),40.88
Cummin Seed (whole),41.28
Red Chillies (whole),29.37
Turmeric (powder),16.51
Banana,49.82
Ginger,33.8
Garlic,41.05
