Date 18/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.93,65,,
Unit:(Rs./Kg.),Wheat,32.91,57,,
,Atta (Wheat),37.82,70,,
,Gram Dal,92.45,140,,
,Tur/Arhar Dal,151.55,188,,
,Urad Dal,123.27,166,,
,Moong Dal,113.38,150,,
,Masoor Dal,88.81,130,,
,Sugar,44.63,60,,
,Milk @,58.83,82,,
,Groundnut Oil (Packed),192.18,290,,
,Mustard Oil (Packed),169.47,236,,
,Vanaspati (Packed),148.24,209,,
,Soya Oil (Packed),144.18,191,,
,Sunflower Oil (Packed),154.3,209,,
,Palm Oil (Packed),135.38,176,,
,Gur,54.56,130,,
,Tea Loose,268.55,550,,
,Salt Pack (Iodised),21.85,31,,
,Potato,30.41,70,,
,Onion,38.75,87,,
,Tomato,29.99,100,,
