Date 29/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.58,68,29,40,51.33,53,44.5,41.63,38.14,44,37.88,40,47.67,54.5,38.67,39.33,41.08,44,39.06,53.91,49.29,47.5,38.2,48.26,50,37.4,49.73,42.81,38.87,65,39.73,41.32,49.33,57.91,56.3,37.75,39.44,38.33,44.09
Unit:(Rs./Kg.),Wheat,31.48,58,22,28,,42,45,36.25,28.84,31,33.25,30,39,50,33.33,30,24,32.83,31.39,42.38,46.75,,29.71,40.11,48,42.44,42.13,42.25,37.13,48,26.87,28.96,38.83,45.97,40.5,,28.2,25.67,30.78
,Atta (Wheat),36.68,70,29,35,69,44.5,43,39.25,34.76,36,37.5,34,44.67,45,35.67,32.67,35.58,39.63,36.11,44.41,45.71,45,34.31,44.42,49,41.1,47.82,48.38,42.59,45,32.47,33.29,39.33,55.06,44.4,39.75,33.57,37,38.86
,Gram Dal,95.1,145,70,90,110,101.25,103,96.46,88.3,90,95.38,100,99.33,106.5,92.5,93,99,98,93.24,95.53,110.31,129,92.7,99.68,117,110.17,101.13,96.5,97.09,93,99.93,89.57,97,102.82,91.6,100.33,88.95,90,90.64
,Tur/Arhar Dal,162.18,198,124,160,176,170.5,179.5,168.25,155.51,165,158.38,163,161.67,166.5,167.67,167,167.25,172,160.89,159.25,176.33,180,157.27,166.26,178,179.2,155.71,165.9,156,182,168.93,164.68,170,170.25,163.8,164,154.21,167,164.27
,Urad Dal,125.09,170,85,120,161.67,130.75,128.25,111.13,121.19,125,116.13,143,142.33,155,126.17,117.33,132.67,128.25,122.44,131.34,142,139.5,118.22,130.16,135,133,135.29,121.11,117.86,149,132.13,120.54,124.33,138.32,128.7,129,120.51,118.33,125.09
,Moong Dal,116.41,160,87,120,137.33,119.75,118.25,116.54,113.3,116,114.13,123,125.33,131.5,113.67,117.33,115.42,122.38,113.72,119.03,131.62,126.5,109.46,119.95,128,122.7,137.14,121.31,114.35,115,117.6,108.18,126.67,121.82,116,111.5,112.25,116.33,118.36
,Masoor Dal,90.33,160,74,90,103.33,92.25,101.25,91.33,80.68,90,91.13,90,92.33,100.5,84.33,85,87.33,105.38,82.44,93.59,101.77,128.5,86.7,93.37,92,87.9,98.45,97.5,83.57,93,93.2,86.71,95.83,92.1,93.5,106.75,87.68,96,96.91
,Sugar,45.02,60,35,44,54,43.75,53.75,47.42,44.7,45,43.5,45,44,44,43,44.67,47,49.88,45.47,42.75,44.07,55,42.82,43.79,54,49.4,51.73,50.8,44.48,48,44.6,42.71,51.5,44.21,40.3,49.25,43.92,44,46.23
,Milk @,58.7,83,40,60,73.67,56.75,75.25,72.5,56.22,60,59.13,56,65.67,59,63.17,57,52.92,53.63,59.38,51.31,54.36,60,55.53,59.21,,73.6,78.73,73.08,53.24,48,59.93,52.37,64.17,47.41,58.1,74.25,61.88,63.67,56.05
