,Date 31/08/2026
Rice,46.36
Broken Rice,33.64
Wheat,31.58
Atta (Wheat),37.33
Gram Dal,87.67
Tur/Arhar Dal,123.93
Urad Dal,122.65
Moong Dal,112.01
Masoor Dal,90.42
Sugar,63.28
Milk @,61.11
Groundnut Oil (Packed),208.76
Mustard Oil (Packed),201.27
Vanaspati (Packed),167.46
Soya Oil (Packed),165.31
Sunflower Oil (Packed),192.29
Palm Oil (Packed),150.29
Gur,67.23
Tea Loose,277.31
Salt Pack (Iodised),22.26
Potato,22.9
Onion,48.87
Tomato,38.19
Bajra (whole),38.54
Jowar (whole),44.97
Maida (wheat),42.63
Ragi (whole),55.96
Suji (whole),47.47
Besan,96.42
Desi Ghee,697.48
Butter (Pasteurised),60.31
Eggs,83.68
Brinjal,43.26
Black Pepper (whole),88.55
Coriander (whole),43.08
Cummin Seed (whole),40.86
Red Chillies (whole),30.22
Turmeric (powder),16.68
Banana,50.24
Ginger,36.87
Garlic,44.63
