,Date 22/09/2026
Rice,46.44
Broken Rice,33.99
Wheat,31.92
Atta (Wheat),37.64
Gram Dal,88.63
Tur/Arhar Dal,124.92
Urad Dal,123.08
Moong Dal,112.4
Masoor Dal,90.34
Sugar,58.02
Milk @,61.29
Groundnut Oil (Packed),209.58
Mustard Oil (Packed),202.68
Vanaspati (Packed),167.89
Soya Oil (Packed),166.97
Sunflower Oil (Packed),193.97
Palm Oil (Packed),153.03
Gur,66.9
Tea Loose,275.27
Salt Pack (Iodised),22.36
Potato,23.14
Onion,54.2
Tomato,39.32
Bajra (whole),38.7
Jowar (whole),45.15
Maida (wheat),42.78
Ragi (whole),55.89
Suji (whole),47.37
Besan,96.89
Desi Ghee,702.1
Butter (Pasteurised),60.57
Eggs,83.84
Brinjal,43.3
Black Pepper (whole),88.34
Coriander (whole),43.72
Cummin Seed (whole),40.93
Red Chillies (whole),30.51
Turmeric (powder),16.79
Banana,49.52
Ginger,35.94
Garlic,45.57
