Date 23/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.49,68,27,40,51,53.8,44.5,40.95,38,44,39.4,38,52.5,40.75,39.33,41.25,45,39.55,53.93,49.23,47.5,37.98,47.95,37.4,50,43.85,38.86,65,40.07,40.43,49,57.35,55.8,37.5,39.54,37.67,41.8
Unit:(Rs./Kg.),Wheat,31.99,58,22,30,,41.8,45,38.5,29.19,31,34.4,30,40,36,29.67,24,33.33,32,42.7,47.18,,30.02,39.95,43.5,42.14,43.33,38,48,29.13,29.14,38.5,45.62,40.5,,28.78,29,30.86
,Atta (Wheat),37.19,70,29,35,69,45,43,40,34.83,36,39,35,47,37.5,33,36.25,40,36.82,44.52,46.92,43,34.47,44.53,43,48.67,49.69,43.43,47,34.53,32.86,39.33,56.3,44.1,41.75,34.16,35,40
,Gram Dal,95.16,145,70,90,117.5,99.4,106.25,97,89.81,90,98.2,92,103,93,93.33,96.5,98.88,93.5,96.19,112.5,132.5,92.62,99.21,109.5,98.5,101.8,100.86,102,96.6,88.43,100.83,101.17,89.8,100.33,88.61,88.67,91.13
,Tur/Arhar Dal,161.04,193,117,160,169.5,170.8,178.75,167.5,155.56,165,164.2,153,169.5,163.5,167.33,162.92,164,157.45,157.67,173.08,167,156.36,166.68,177,160,165.88,157.29,185,167.6,167,170,171.74,162.9,159.67,152.53,164,164.27
,Urad Dal,125.19,173,85,125,153.5,132,126.75,112.95,120.83,125,119.4,135,150.5,123.25,117.67,132.92,128.38,122.36,130.67,143.45,139.5,119.18,129.11,133,132.83,123.57,120,151,130.87,123.86,126.67,136.91,128.8,128.33,119.92,120.67,124.93
,Moong Dal,116.01,160,87,120,130,122.6,118,114.9,112.86,116,115,122,125,116.75,118,116.08,122.63,113.45,117.63,131.67,130,109.71,120.74,121.2,138.33,123.43,113.86,113,115.67,111,126.67,120.78,116.1,113.75,110.42,115,115.53
,Masoor Dal,90.61,160,73,90,101.5,94.8,100.75,90.3,80.61,90,92,90,96,89.25,85.33,87.33,104.25,81.64,94.04,101.67,130,86.53,94.21,88.2,98.11,99.07,85.29,98,92.73,85.86,94.17,93.05,92.6,104.5,86.97,104.67,95.13
,Sugar,45.01,60,30,45,53.5,44,53.75,47.55,44.7,45,44.2,45,43,42.5,44.33,47.17,50,45.45,43,43.77,55,42.67,43.63,49.2,52.44,48.5,44.71,49,44.73,42.57,51.5,44.3,40.2,50.25,43.86,44.67,46.2
,Milk @,59.41,83,39,60,73.5,56.75,75.25,73.05,56.97,60,58.4,56,66,61.75,57,53,53.25,59.5,51.89,54.46,60,55.62,59.26,74,80.22,73.08,54.14,48,59.87,52.14,64.17,47.57,58,74.25,62.08,63,56.6
,Groundnut Oil (Packed),194.37,275,142,198,228,176,169,218.2,198.25,183,204.5,216,214.5,187.25,219,225.75,,196.38,182.44,234,,194.64,196.53,,172,,212,253,233.54,178.86,,213.04,169.1,,199.43,178,210.29
,Mustard Oil (Packed),167.51,212,124,165,179.5,177.25,175.5,173.85,163.46,139,167.8,178,191.5,177.75,160.33,187.58,190.57,169.91,172.52,199.22,184,164.58,182.5,164.6,175.14,155.29,182.14,143,171.67,144.14,188.67,186.76,164.2,180.75,161.38,159.33,167.53
,Vanaspati (Packed),144.71,209,92,143,167,133.75,133.67,147.87,141,124,127.2,167,170.5,137.75,146.67,160.75,157.88,148.45,131.3,174.08,176,138.87,148.84,159.33,124.4,156,150.86,150,167.53,125.14,140.83,162.83,114.67,139,140.55,152.33,140.47
,Soya Oil (Packed),143.41,198,92,154,,143.5,144.5,145.5,143.71,119,133.4,162,151.5,143.25,143.33,147.64,153.13,148.55,140.15,146,192,142.16,150.16,151.8,137.44,157.64,154.33,,157.6,127.29,151.5,,115.88,153.75,140.84,145,136.87
,Sunflower Oil (Packed),150.92,253,105,159,138,157.5,168.33,152.4,156.79,120,142.2,163,162,144.75,152,150.75,162.8,164.56,145.22,161.31,,147.27,155.16,253,149,171.5,160.43,137,161.31,137.4,172.75,157.43,138.4,175,148.78,155.33,146.2
,Palm Oil (Packed),131.14,170,91,148,119.5,137.5,,121.33,123.65,100,122.2,141,127,144,123,114.5,133,126.45,127.7,150.27,,116.16,139.06,,123.8,146,140.17,121,139.33,106,,145.83,124.3,134.33,121.04,149,124.6
,Gur,55.53,130,37,50,74,59.25,83.75,61.15,48.15,55,50.8,60,65,54,54,49.58,52.88,52.27,51.85,61.92,70,50.47,55.05,78,108.5,77.5,53.57,60,51.27,44.86,61,58.7,53.1,73,51.64,57.33,52.53
,Tea Loose,268.65,520,154,250,322.5,298.5,355,244.25,274.31,269,215.4,245,300,210.5,248.67,270.67,315.75,249.64,237.15,237,480,229.82,308.32,336,492.89,318.58,260,335,275.53,308.43,378.33,289.71,284.5,232,237.59,277,262.4
,Salt Pack (Iodised),22.07,30,10,27,19,18.75,19.5,13.45,23.36,28,20.6,27,28,19.25,24,27.83,27.88,26.09,18.22,15,28,15.67,24.16,21,29.78,18.21,26.43,26,26.4,20.71,21.33,25.43,19.6,10.5,25.82,28.67,23.53
,Potato,37.35,70,20,40,65,42.25,40.5,34.1,33.18,39,38.4,33,41,39,32.33,38.17,38.38,34.45,40.41,50.83,44,33.98,41.68,39.6,49.56,41.36,33.57,50,32.13,38.29,43.5,51.7,36.3,39.25,31.36,41.67,31.93
,Onion,57.05,120,28,60,120,55,67.75,64.35,53.56,52,54,58,55.5,57.75,57.33,62.5,64.75,58.82,48.67,72.5,70,46.29,56.89,74.8,65.11,74.5,58.29,58,56.87,48.43,76.67,65.48,46.2,73,50.47,58.33,60.33
,Tomato,50.81,127,20,50,90,33.75,73,65,54.15,60,37.2,45,40.5,41.25,65,59.58,60.13,56.18,34.44,36.83,80,45.02,43.63,54.2,95.56,70.57,46.29,31,54.4,57.29,67.5,37.39,41.9,64.25,46.66,44.33,59.8
