Date 29/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.74,63,,
Unit:(Rs./Kg.),Wheat,31.55,54,,
,Atta (Wheat),37.05,73,,
,Gram Dal,86.24,140,,
,Tur/Arhar Dal,115.03,182,,
,Urad Dal,113.59,150,,
,Moong Dal,110.33,148,,
,Masoor Dal,88.92,134,,
,Sugar,46.55,60,,
,Milk @,59.45,83,,
,Groundnut Oil (Packed),185.28,286,,
,Mustard Oil (Packed),186.48,249,,
,Vanaspati (Packed),155.97,231,,
,Soya Oil (Packed),146.15,191,,
,Sunflower Oil (Packed),164.7,231,,
,Palm Oil (Packed),132.35,167,,
,Gur,57.04,130,,
,Tea Loose,268.92,560,,
,Salt Pack (Iodised),21.14,35,,
,Potato,26.47,60,,
,Onion,26.38,60,,
,Tomato,51.92,120,,
