Date 21/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.7,68,27,40,51,53.4,44.5,41.44,37.95,44,37.88,38,52.5,54.5,38.75,39,41,44.14,39.38,53.81,49.57,47,38.23,48.05,37.5,49.7,44,39.95,65,40,42.6,49,57.97,55.7,37.5,39.51,37.67,43.73
Unit:(Rs./Kg.),Wheat,31.9,58,22,30,,41.2,45,37.08,29.35,31,33.13,30,40,50,34.75,29,24,34.2,32,42.88,47,,29.75,39.95,43.44,42.14,44,38.57,48,29.07,29.53,38.5,46.16,40.4,,28.73,29,30.89
,Atta (Wheat),36.96,70,29,35,69,44.2,43.25,39.64,34.86,36,38,35,47,45.5,36,34,36.17,40.57,36.25,44.72,46.79,43,34.23,44.58,42.7,48.3,48.85,43,47,34.47,33.77,39.33,55.09,44.2,41.75,34,35,39.91
,Gram Dal,95.29,145,70,90,117.5,99.4,106.25,96.2,89.89,90,97.13,97,103,113.5,93.88,92.5,96.67,97.14,91.87,95.44,113.31,131,92.88,99.53,109.67,101.57,101.3,99.63,102,96.67,89.17,100.83,102.41,89.6,100.33,89.07,88.67,91.18
,Tur/Arhar Dal,161.39,193,117,160,169.5,168.6,178.75,166.52,155.22,165,159.25,163,170,166,164.63,166.75,163.42,170,158.44,158.44,173.85,163,156.48,166.47,178.2,158.33,165.88,158.05,185,167.93,161.17,170,171.88,163.4,159.67,152.71,164,164.55
,Urad Dal,124.95,167,85,120,152,130.6,127,110.83,121.22,125,118.13,143,150.5,155,122.88,118.25,133.25,128.86,120.88,131.13,142.67,141,118.75,129,133,132.83,121.25,120.47,151,130.87,121.03,126.67,137.06,128.9,128.33,120.45,120.67,125.14
,Moong Dal,115.92,160,87,120,129,121.6,117.5,115.4,112.78,116,114.25,123,125,131.5,110.25,117.25,116,122.86,113.13,118.44,132.15,130,109.17,120.84,122.8,138.57,121.77,115.85,113,115.93,107.6,126.67,121.15,115.9,113.75,111.13,115,118.14
,Masoor Dal,90.31,160,73,90,102.5,93.2,100,91.4,80.62,90,92.38,90,96,100.5,86.63,86,87.33,103.14,81.5,93.81,102.31,130,86.67,94,88.1,98.3,97.85,83.65,98,93,86.5,94.17,92.57,92.4,105.25,87.25,104.67,97.41
,Sugar,44.89,60,38,45,52,43.6,53.75,47.56,44.78,45,43.75,45,43,44,43,44.67,47.17,50,45.19,42.91,43.79,55,42.63,43.58,49.4,51.67,49.92,44.8,49,44.6,42.93,51.5,44.15,40.2,50.25,43.89,44.67,45.95
,Milk @,58.64,83,39,60,73.5,58.6,75.25,72.68,56.57,60,59.88,56,66,59,63.25,59,53,51.57,58.93,51.19,54.57,60,55.29,59.26,73.6,79.33,73.25,53.32,48,59.87,52.61,64.17,47.53,58,74.25,61.93,63,56.09
,Groundnut Oil (Packed),195.58,275,142,188,228,173,169,206.86,196.65,183,198.83,216,214.5,242.5,189.38,210.67,225.75,,197.17,185.16,229.33,,195.6,197.63,,172,,209.5,253,233.92,187.64,,213.94,169.4,,198.9,178,211.67
,Mustard Oil (Packed),167.9,221,124,165,181.5,177,175.5,170.84,162.95,139,164.57,178,191.5,184,175.38,154,186.33,188.83,169.56,170.78,198.7,180.5,164.46,183.72,167.9,177.63,154.08,182.1,145,172.07,153.17,188.67,184.37,163.4,180.75,161.63,159.33,164.5
,Vanaspati (Packed),143.77,209,92,143,167,131,133.67,147.58,140.44,124,128.57,167,170.5,162,140.5,132,157.67,155.86,146.19,129.72,172.69,174,139.7,149.21,159.33,131.17,156,151.83,156,167.2,130.57,140.83,157.74,113.89,139,140.63,152.33,138.67
,Soya Oil (Packed),142.51,192,92,148,,142.5,144.5,145.44,143.27,119,134.29,162,151.5,168.5,141.88,136.67,147.64,147,144.63,138.28,146,192,142.15,150.89,153.2,133.67,155.62,151.6,,157.87,133.46,151.5,,114.38,153,140.83,145,136.23
,Sunflower Oil (Packed),149.85,253,105,159,140.5,146.8,168.33,149.58,155.87,120,139.14,159,162,165,143.75,141,150.75,164,157.29,144.25,160.86,,147.57,155.84,215.5,149,171.5,155.25,135,161.31,143.26,172.75,155.24,138.1,175,148.45,155.33,145
,Palm Oil (Packed),130,170,90,144,123.5,126.6,,122.56,122.72,100,130.17,141,127,141,138,113,114.5,133,123.31,125.91,150.64,,118.33,138.63,125,121.5,146,137.5,121,139.33,115.29,,141.36,124,132,120.99,149,123.11
,Gur,55.18,130,37,50,72.5,58.2,83.75,62,47.97,55,51.88,60,65,59,55.5,53,49.67,52.57,51.69,52.19,61.92,70,50.27,55.26,78.4,107.56,76.25,53.8,60,50.93,45.62,61,58,53.1,73,51.69,57.33,53.86
,Tea Loose,270.06,520,154,200,321,276.8,355,242.8,273.75,269,221.38,245,300,322.5,209.38,227.67,270.67,316,247.69,243.63,233.45,480,228.27,308.26,367.6,485.89,318.75,290.24,335,274.93,293.4,378.33,284.48,284.5,232,238.28,277,273.55
,Salt Pack (Iodised),21.83,30,9,27,19.5,19.4,19.5,13.16,23.49,28,18.17,27,28,25.5,18.75,24.33,27.83,28,24.56,17.88,15.07,28,15.83,24.16,18.9,29.78,18.08,25.7,26,26.4,20.04,21.33,24.61,19.6,10.5,25.85,28.67,23.86
,Potato,37.53,70,21,35,65,42,40.5,34.12,33,39,38.14,33,40.5,52.5,38,32.67,37.92,39.57,33.56,40.5,51.08,45,33.58,41.39,40.8,50.11,43,33.4,50,32,37.28,43,51.85,36.3,39.25,31.35,41.67,32.91
,Onion,57.23,123,24,60,121.5,51.2,67.75,65.48,53.19,52,55.86,60,55,57,56.88,53,63.67,65.43,58.94,46.78,72.69,70,45.4,56.72,76.5,62.67,77.69,58.2,58,57.8,49.97,78.33,66.21,46.3,73,50.91,59.67,62.36
,Tomato,50.53,127,20,50,90,35,73,62.96,54.65,60,37.57,50,38,43.5,43.13,71,58.67,58.43,58,32.78,35.54,80,45.48,44.22,55.6,97.78,74.46,44.85,31,54.67,54.52,66.67,37.35,42.1,64.25,47.17,44.33,58.86
