Date 17/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.3,64,,
Unit:(Rs./Kg.),Wheat,31.26,55,,
,Atta (Wheat),36.76,70,,
,Gram Dal,86.19,140,,
,Tur/Arhar Dal,125.24,190,,
,Urad Dal,117.03,153,,
,Moong Dal,111.2,140,,
,Masoor Dal,87.55,130,,
,Sugar,45.87,62,,
,Milk @,59.11,82,,
,Groundnut Oil (Packed),187.16,253,,
,Mustard Oil (Packed),170.14,234,,
,Vanaspati (Packed),154.77,212,,
,Soya Oil (Packed),147.69,196,,
,Sunflower Oil (Packed),160.74,209,,
,Palm Oil (Packed),135.38,182,,
,Gur,54.31,120,,
,Tea Loose,265.75,600,,
,Salt Pack (Iodised),21.26,31,,
,Potato,24.24,60,,
,Onion,26.41,60,,
,Tomato,22.88,80,,
