,Date 27/06/2026
Rice,43.68
Broken Rice,32.54
Wheat,30.95
Atta (Wheat),36.78
Gram Dal,85.69
Tur/Arhar Dal,122.37
Urad Dal,118.71
Moong Dal,111.39
Masoor Dal,89.56
Sugar,47.03
Milk @,60.57
Groundnut Oil (Packed),204.19
Mustard Oil (Packed),192.88
Vanaspati (Packed),164.02
Soya Oil (Packed),163.18
Sunflower Oil (Packed),188.55
Palm Oil (Packed),147.27
Gur,58.39
Tea Loose,272.9
Salt Pack (Iodised),21.69
Potato,22.33
Onion,28.69
Tomato,43.82
Bajra (whole),38.26
Jowar (whole),44.18
Maida (wheat),42.02
Ragi (whole),54.8
Suji (whole),46.68
Besan,96.04
Desi Ghee,691.06
Butter (Pasteurised),59.39
Eggs,82.03
Brinjal,41.61
Black Pepper (whole),87.58
Coriander (whole),40.28
Cummin Seed (whole),41.31
Red Chillies (whole),29.3
Turmeric (powder),16.46
Banana,49.46
Ginger,31.38
Garlic,39.98
