Date 16/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.05,63,,
Unit:(Rs./Kg.),Wheat,31.77,54,,
,Atta (Wheat),37.18,71,,
,Gram Dal,85.04,122,,
,Tur/Arhar Dal,112.89,160,,
,Urad Dal,113.11,152,,
,Moong Dal,109,140,,
,Masoor Dal,87.67,132,,
,Sugar,46.11,60,,
,Milk @,58.3,84,,
,Groundnut Oil (Packed),187.33,254,,
,Mustard Oil (Packed),186.94,242,,
,Vanaspati (Packed),154.44,231,,
,Soya Oil (Packed),146.72,191,,
,Sunflower Oil (Packed),164.49,231,,
,Palm Oil (Packed),133.49,168,,
,Gur,56.27,125,,
,Tea Loose,263.92,560,,
,Salt Pack (Iodised),21.43,35,,
,Potato,25.93,53,,
,Onion,25.11,62,,
,Tomato,40.49,120,,
