,Date 25/02/2026
Rice,43.04
Wheat,31.66
Atta (Wheat),37.32
Gram Dal,85.71
Tur/Arhar Dal,121.14
Urad Dal,116.53
Moong Dal,110.53
Masoor Dal,89.4
Sugar,46.31
Milk @,59.12
Groundnut Oil (Packed),193.86
Mustard Oil (Packed),186.52
Vanaspati (Packed),156.53
Soya Oil (Packed),150.74
Sunflower Oil (Packed),174.53
Palm Oil (Packed),135.8
Gur,56.52
Tea Loose,270.63
Salt Pack (Iodised),21.51
Potato,21.75
Onion,26.81
Tomato,29.83
Bajra (whole),37.75
Jowar (whole),43.84
Maida (wheat),41.86
Ragi (whole),54.22
Suji (whole),46.47
Besan,95.56
Desi Ghee,680.07
Butter (Pasteurised),58.79
Eggs,81.55
Brinjal,39.3
Black Pepper (whole),87.16
Coriander (whole),37.59
Cummin Seed (whole),40.31
Red Chillies (whole),27.93
Turmeric (powder),16.18
Banana,47.35
Ginger,24.61
Garlic,38.41
