Date 26/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.4,65,30,40,51,53.5,46,41.67,38.23,44,37.43,40,47.67,35.25,39.33,41.08,41.5,39.4,53.61,49.42,47.5,38.04,48.32,37.75,49.44,42.67,40.38,65,40.07,38.2,50.25,57.42,56.3,38,39.55,38,43.8
Unit:(Rs./Kg.),Wheat,31.56,58,22,28,,42,45,37.8,28.77,31,32.57,30,38.67,32.5,30,24,33.5,31.73,42.36,47.2,,29.79,39.89,41.71,42.14,42.57,37.64,48,26.93,28.2,39.5,45.77,40.7,,27.99,28,30.43
,Atta (Wheat),36.7,70,28,35,68.5,44.5,43.67,39.14,34.77,36,36.71,34,44.33,34.5,32.67,35.58,40,36.33,44.5,44.67,45,34.19,44.37,41,48.11,49.27,41.85,44,32.36,32.8,40.75,56.04,44.4,39.5,33.55,35.5,38.47
,Gram Dal,94.98,145,70,100,105,101.25,103.33,96.62,88.7,90,93.71,100,99.33,97.75,93,99.08,96,94,96.04,110.83,131,92.54,99.53,108.5,98.17,98.18,98.62,91,99.43,89.8,99.25,102.04,91.6,99,88.76,87,87.87
,Tur/Arhar Dal,161.69,194,124,160,180.5,170.5,180,170.24,154,165,161,163,161,165.75,167,168.33,156,160.8,160.14,176,190,157.21,166,178.67,158.2,164.33,158.23,182,167.43,166.4,,169.87,163.8,164,153.94,164.25,162.73
,Urad Dal,125.01,170,85,120,166,130.75,126.67,113.05,122.63,125,115.29,143,142.67,120.5,117.33,133.08,127,121.4,131.36,141.45,141,118.08,130.26,133,133,123.13,117.54,149,131.07,122.8,133,137.67,128.7,129,120.14,120,123.67
,Moong Dal,116.31,160,87,120,140,119.75,116.67,116.76,113.33,116,112.71,123,125,110,117.33,115.17,124,113.33,119.86,131.08,130,109.17,120.32,123.5,134,121.4,114,115,118.79,111.4,127.5,120.79,116,111.75,111.93,116.25,116.33
,Masoor Dal,90.24,140,74,90,105,92.25,103.33,91.29,80.7,90,91.86,90,91.67,82.5,85.33,87.42,109.25,83.27,93,96.83,130,86.48,93.58,87.13,98.11,98,83.23,93,93.64,87.2,97.5,92.14,93.5,106.5,87.48,96,94.6
,Sugar,45.02,60,38,44,55,43.75,55,47.19,44.83,45,42.86,45,44,43,44.67,47,51.25,45.79,42.89,44.08,55,42.8,43.58,49.38,51.67,50.5,44.62,48,44.79,42,52.25,44.25,40.3,49.5,43.93,44,45.87
,Milk @,59.28,83,40,60,74,56.75,75.67,72.53,56.17,60,58.86,56,65.67,63.5,57,52.92,54.25,59,51.07,54.67,60,55.87,59.21,74,80.11,72.5,53.23,48,59.5,51,65,48.25,58.1,73.5,61.8,62,55.93
