Date 21/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.03,67,,
Unit:(Rs./Kg.),Wheat,32.74,55,,
,Atta (Wheat),38.03,71,,
,Gram Dal,90.14,127,,
,Tur/Arhar Dal,140.24,187,,
,Urad Dal,121.64,161,,
,Moong Dal,112.82,150,,
,Masoor Dal,88.88,123,,
,Sugar,45.25,60,,
,Milk @,58.27,83,,
,Groundnut Oil (Packed),192.75,279,,
,Mustard Oil (Packed),168.46,223,,
,Vanaspati (Packed),149.93,211,,
,Soya Oil (Packed),145.01,194,,
,Sunflower Oil (Packed),155.96,206,,
,Palm Oil (Packed),136.53,176,,
,Gur,54.11,130,,
,Tea Loose,271.05,520,,
,Salt Pack (Iodised),21.43,31,,
,Potato,24.97,65,,
,Onion,36.94,77,,
,Tomato,22.5,100,,
