,Date 28/07/2026
Rice,44.89
Broken Rice,33.0
Wheat,31.33
Atta (Wheat),37.14
Gram Dal,86.45
Tur/Arhar Dal,123.09
Urad Dal,121.12
Moong Dal,111.71
Masoor Dal,90.36
Sugar,48.96
Milk @,60.89
Groundnut Oil (Packed),205.73
Mustard Oil (Packed),196.44
Vanaspati (Packed),165.51
Soya Oil (Packed),164.19
Sunflower Oil (Packed),189.42
Palm Oil (Packed),148.5
Gur,59.58
Tea Loose,275.89
Salt Pack (Iodised),22.01
Potato,22.8
Onion,35.07
Tomato,39.85
Bajra (whole),38.22
Jowar (whole),44.62
Maida (wheat),42.17
Ragi (whole),55.46
Suji (whole),47.13
Besan,96.21
Desi Ghee,693.57
Butter (Pasteurised),59.8
Eggs,86.84
Brinjal,43.29
Black Pepper (whole),88.13
Coriander (whole),41.57
Cummin Seed (whole),41.0
Red Chillies (whole),29.74
Turmeric (powder),16.58
Banana,50.07
Ginger,37.18
Garlic,43.32
