Date 14/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42,63,,
Unit:(Rs./Kg.),Wheat,31.77,51,,
,Atta (Wheat),37.16,69,,
,Gram Dal,85.51,117,,
,Tur/Arhar Dal,113.56,170,,
,Urad Dal,113.53,170,,
,Moong Dal,109.1,148,,
,Masoor Dal,87.62,125,,
,Sugar,46.2,60,,
,Milk @,58.69,85,,
,Groundnut Oil (Packed),187.35,242,,
,Mustard Oil (Packed),188.96,260,,
,Vanaspati (Packed),154.89,220,,
,Soya Oil (Packed),146.93,196,,
,Sunflower Oil (Packed),162.07,253,,
,Palm Oil (Packed),132.73,190,,
,Gur,56.12,135,,
,Tea Loose,263.84,520,,
,Salt Pack (Iodised),21.49,34,,
,Potato,24.43,52,,
,Onion,26.42,60,,
,Tomato,39.65,140,,
