Date 24/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.29,65,,
Unit:(Rs./Kg.),Wheat,32.3,57,,
,Atta (Wheat),37.36,71,,
,Gram Dal,93.68,140,,
,Tur/Arhar Dal,157.7,189,,
,Urad Dal,124,170,,
,Moong Dal,114.23,150,,
,Masoor Dal,89.6,133,,
,Sugar,44.66,60,,
,Milk @,58.89,85,,
,Groundnut Oil (Packed),194.52,279,,
,Mustard Oil (Packed),169.26,221,,
,Vanaspati (Packed),146.13,209,,
,Soya Oil (Packed),143.27,194,,
,Sunflower Oil (Packed),153.98,209,,
,Palm Oil (Packed),134.41,176,,
,Gur,54.98,130,,
,Tea Loose,270.51,520,,
,Salt Pack (Iodised),21.94,31,,
,Potato,35.57,100,,
,Onion,46.66,100,,
,Tomato,43.48,108,,
