,Date 18/08/2026
Rice,45.71
Broken Rice,33.41
Wheat,31.51
Atta (Wheat),37.26
Gram Dal,87.11
Tur/Arhar Dal,123.65
Urad Dal,122.1
Moong Dal,111.97
Masoor Dal,90.33
Sugar,52.3
Milk @,60.83
Groundnut Oil (Packed),207.44
Mustard Oil (Packed),198.33
Vanaspati (Packed),166.46
Soya Oil (Packed),164.66
Sunflower Oil (Packed),190.92
Palm Oil (Packed),148.77
Gur,61.12
Tea Loose,276.07
Salt Pack (Iodised),22.27
Potato,22.84
Onion,37.61
Tomato,38.67
Bajra (whole),38.52
Jowar (whole),44.77
Maida (wheat),42.41
Ragi (whole),55.36
Suji (whole),47.09
Besan,96.05
Desi Ghee,696.25
Butter (Pasteurised),60.15
Eggs,84.67
Brinjal,42.95
Black Pepper (whole),88.43
Coriander (whole),42.41
Cummin Seed (whole),40.99
Red Chillies (whole),30.07
Turmeric (powder),16.56
Banana,50.38
Ginger,37.33
Garlic,44.12
