Date 22/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.44,64,,
Unit:(Rs./Kg.),Wheat,31.94,54,,
,Atta (Wheat),37.52,69,,
,Gram Dal,87.12,140,,
,Tur/Arhar Dal,114.79,182,,
,Urad Dal,114.05,170,,
,Moong Dal,111.01,150,,
,Masoor Dal,89.54,130,,
,Sugar,46.78,60,,
,Milk @,59.32,85,,
,Groundnut Oil (Packed),187.51,286,,
,Mustard Oil (Packed),187.85,257,,
,Vanaspati (Packed),157.32,231,,
,Soya Oil (Packed),147.18,198,,
,Sunflower Oil (Packed),163.99,231,,
,Palm Oil (Packed),133.07,187,,
,Gur,58.06,140,,
,Tea Loose,273.1,600,,
,Salt Pack (Iodised),21.62,35,,
,Potato,25.6,51,,
,Onion,26.75,60,,
,Tomato,39,120,,
