Date 24/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.03,65,,
Unit:(Rs./Kg.),Wheat,32.4,57,,
,Atta (Wheat),37.81,71,,
,Gram Dal,88.41,140,,
,Tur/Arhar Dal,133.45,181,,
,Urad Dal,120.01,156,,
,Moong Dal,112.55,145,,
,Masoor Dal,88.46,130,,
,Sugar,45.56,60,,
,Milk @,58.12,80,,
,Groundnut Oil (Packed),191.15,279,,
,Mustard Oil (Packed),168.76,229,,
,Vanaspati (Packed),152.21,209,,
,Soya Oil (Packed),145.99,211,,
,Sunflower Oil (Packed),158.24,206,,
,Palm Oil (Packed),138.14,177,,
,Gur,53.89,130,,
,Tea Loose,270.78,520,,
,Salt Pack (Iodised),21.39,32,,
,Potato,23.51,60,,
,Onion,32.56,80,,
,Tomato,20.53,100,,
